Country,Value
Hey, Soul Sister	Train
Love The Way You Lie	Eminem
TiK ToK	Kesha
Bad Romance	Lady Gaga
Just the Way You Are	Bruno Mars
Baby	Justin Bieber
Dynamite	Taio Cruz
Secrets	OneRepublic
Empire State of Mind (Part II) Broken Down	Alicia Keys
Only Girl (In The World)	Rihanna
Club Can't Handle Me (feat. David Guetta)	Flo Rida
Marry You	Bruno Mars
Cooler Than Me - Single Mix	Mike Posner
Telephone	Lady Gaga
Like A G6	Far East Movement
OMG (feat. will.i.am)	Usher
Eenie Meenie	Sean Kingston
The Time (Dirty Bit)	The Black Eyed Peas
Alejandro	Lady Gaga
Your Love Is My Drug	Kesha
Meet Me Halfway	The Black Eyed Peas
Whataya Want from Me	Adam Lambert
Take It Off	Kesha
Misery	Maroon 5
All The Right Moves	OneRepublic
Animal	Neon Trees
Naturally	Selena Gomez & The Scene
I Like It	Enrique Iglesias
Teenage Dream	Katy Perry
California Gurls	Katy Perry
3	Britney Spears
My First Kiss - feat. Ke$ha	3OH!3
Blah Blah Blah (feat. 3OH!3)	Kesha
Imma Be	The Black Eyed Peas
Try Sleeping with a Broken Heart	Alicia Keys
Sexy Bitch (feat. Akon)	David Guetta
Bound To You - Burlesque Original Motion Picture Soundtrack	Christina Aguilera
If I Had You	Adam Lambert
Rock That Body	The Black Eyed Peas
Dog Days Are Over	Florence + The Machine
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack	Christina Aguilera
Doesn't Mean Anything	Alicia Keys
Hard	Rihanna
Loca	Shakira
You Lost Me	Christina Aguilera
Not Myself Tonight	Christina Aguilera
Written in the Stars (feat. Eric Turner)	Tinie Tempah
DJ Got Us Fallin' In Love (feat. Pitbull)	Usher
Castle Walls (feat. Christina Aguilera)	T.I.
Break Your Heart	Taio Cruz
Hello	Martin Solveig
A Thousand Years	Christina Perri
Someone Like You	Adele
Give Me Everything	Pitbull
Just the Way You Are	Bruno Mars
Rolling in the Deep	Adele
Run the World (Girls)	Beyonce
Moves Like Jagger - Studio Recording From The Voice Performance	Maroon 5
Love On Top	Beyonce
Grenade	Bruno Mars
Tonight Tonight	Hot Chelle Rae
What the Hell	Avril Lavigne
Born This Way	Lady Gaga
Monster	Kanye West
Marry You	Bruno Mars
Best Thing I Never Had	Beyonce
Party Rock Anthem	LMFAO
We R Who We R	Kesha
Price Tag	Jessie J
Good Life	OneRepublic
Just Cant Get Enough	The Black Eyed Peas
On The Floor	Jennifer Lopez
What's My Name?	Rihanna
Yeah 3x	Chris Brown
Without You (feat. Usher)	David Guetta
Sexy And I Know It	LMFAO
The Edge Of Glory	Lady Gaga
E.T.	Katy Perry
Till the World Ends	Britney Spears
I Wanna Go	Britney Spears
Blow	Kesha
You And I	Lady Gaga
Judas	Lady Gaga
Tonight (I'm Fuckin' You)	Enrique Iglesias
Please Don't Go	Mike Posner
We Found Love	Rihanna
Marry The Night	Lady Gaga
1+1	Beyonce
Hold It Against Me	Britney Spears
I'm Into You	Jennifer Lopez
Papi	Jennifer Lopez
Cheers (Drink To That)	Rihanna
S&M Remix	Rihanna
Written in the Stars (feat. Eric Turner)	Tinie Tempah
Jar of Hearts	Christina Perri
Castle Walls (feat. Christina Aguilera)	T.I.
Turning Page	Sleeping At Last
Super Bass	Nicki Minaj
Raise Your Glass	P!nk
